i: 27000000 	 x: 0.270000 	 y: 0.916005 	 
i: 27000000 	 x: 0.270000 	 y: 0.912959 	 
i: 28000000 	 x: 0.280000 	 y: 0.934673 	 
i: 28000000 	 x: 0.280000 	 y: 0.977549 	 
i: 28000000 	 x: 0.280000 	 y: 0.980966 	 
i: 29000000 	 x: 0.290000 	 y: 0.975012 	 
i: 28000000 	 x: 0.280000 	 y: 0.978631 	 
i: 29000000 	 x: 0.290000 	 y: 1.020898 	 
i: 29000000 	 x: 0.290000 	 y: 1.024479 	 
i: 30000000 	 x: 0.300000 	 y: 1.022118 	 
i: 29000000 	 x: 0.290000 	 y: 1.019227 	 
i: 30000000 	 x: 0.300000 	 y: 1.039199 	 
i: 30000000 	 x: 0.300000 	 y: 1.048162 	 
i: 31000000 	 x: 0.310000 	 y: 1.061965 	 
i: 30000000 	 x: 0.300000 	 y: 1.090801 	 
i: 31000000 	 x: 0.310000 	 y: 1.062657 	 
i: 31000000 	 x: 0.310000 	 y: 1.066930 	 
i: 32000000 	 x: 0.320000 	 y: 1.133620 	 
i: 31000000 	 x: 0.310000 	 y: 1.109490 	 
i: 32000000 	 x: 0.320000 	 y: 1.155825 	 
i: 32000000 	 x: 0.320000 	 y: 1.162018 	 
i: 33000000 	 x: 0.330000 	 y: 1.150661 	 
i: 32000000 	 x: 0.320000 	 y: 1.184309 	 
i: 33000000 	 x: 0.330000 	 y: 1.150830 	 
i: 33000000 	 x: 0.330000 	 y: 1.157096 	 
i: 34000000 	 x: 0.340000 	 y: 1.225697 	 
i: 33000000 	 x: 0.330000 	 y: 1.208864 	 
i: 34000000 	 x: 0.340000 	 y: 1.249558 	 
i: 34000000 	 x: 0.340000 	 y: 1.256440 	 
i: 35000000 	 x: 0.350000 	 y: 1.248302 	 
i: 34000000 	 x: 0.340000 	 y: 1.249637 	 
i: 35000000 	 x: 0.350000 	 y: 1.265412 	 
i: 35000000 	 x: 0.350000 	 y: 1.304370 	 
i: 36000000 	 x: 0.360000 	 y: 1.288389 	 
i: 35000000 	 x: 0.350000 	 y: 1.304816 	 
i: 36000000 	 x: 0.360000 	 y: 1.289943 	 
i: 36000000 	 x: 0.360000 	 y: 1.294265 	 
i: 37000000 	 x: 0.370000 	 y: 1.309375 	 
i: 36000000 	 x: 0.360000 	 y: 1.350423 	 
i: 37000000 	 x: 0.370000 	 y: 1.362411 	 
i: 37000000 	 x: 0.370000 	 y: 1.341430 	 
i: 38000000 	 x: 0.380000 	 y: 1.415745 	 
i: 37000000 	 x: 0.370000 	 y: 1.428356 	 
i: 38000000 	 x: 0.380000 	 y: 1.410356 	 
i: 38000000 	 x: 0.380000 	 y: 1.450153 	 
i: 39000000 	 x: 0.390000 	 y: 1.464388 	 
i: 38000000 	 x: 0.380000 	 y: 1.415745 	 
i: 39000000 	 x: 0.390000 	 y: 1.430715 	 
i: 39000000 	 x: 0.390000 	 y: 1.437150 	 
i: 40000000 	 x: 0.400000 	 y: 1.484239 	 
i: 39000000 	 x: 0.390000 	 y: 1.464388 	 
i: 40000000 	 x: 0.400000 	 y: 1.505932 	 
i: 40000000 	 x: 0.400000 	 y: 1.521039 	 
i: 41000000 	 x: 0.410000 	 y: 1.532920 	 
i: 40000000 	 x: 0.400000 	 y: 1.541569 	 
i: 41000000 	 x: 0.410000 	 y: 1.526626 	 
i: 41000000 	 x: 0.410000 	 y: 1.562905 	 
i: 42000000 	 x: 0.420000 	 y: 1.573981 	 
i: 41000000 	 x: 0.410000 	 y: 1.631305 	 
i: 42000000 	 x: 0.420000 	 y: 1.575105 	 
i: 42000000 	 x: 0.420000 	 y: 1.612740 	 
i: 43000000 	 x: 0.430000 	 y: 1.623080 	 
